index,detail_url,dress_id,image_url_high_res,item_title,price
593,http://www.modcloth.com/shop/dresses/resplendent-energy-dress-in-navy-stripes,593,http://productshots2.modcloth.net/productshots/0170/9425/7b7b30ff9b86fd0d2c6f8da9a33f1c46.jpg?1466101074,Dresses - Resplendent Energy Dress in Navy Stripes,$59.99
594,http://www.modcloth.com/shop/dresses/promise-to-astonish-dress,594,http://productshots0.modcloth.net/productshots/0171/9693/515853ef0ca82b008cefd31985fc871c.jpg?1468530247,Dresses - Promise to Astonish Dress,$69.99
595,http://www.modcloth.com/shop/dresses/i-ll-take-your-award-for-it-maxi-dress,595,http://productshots2.modcloth.net/productshots/0170/9885/3ac09daef2e07d41702f881692189fa8.gif?1466195631,Dresses - I'll Take Your Award for It Maxi Dress,$100.00
596,http://www.modcloth.com/shop/dresses/grand-staircase-entry-wedding-dress-in-ivory,596,http://productshots0.modcloth.net/productshots/0166/5599/3e16154fa5e9ab2e1d5b5b34fc7b070c.jpg?1455314838,Dresses - Grand Staircase Entry Wedding Dress in Ivory,$250.00
597,http://www.modcloth.com/shop/dresses/beyond-your-wildflower-dreams-dress-in-poppy,597,http://productshots1.modcloth.net/productshots/0171/1173/c149a40cf5460793072bd814e32e8cae.jpg?1466545584,Dresses - Beyond Your Wildflower Dreams Dress in Poppy,$64.99
598,http://www.modcloth.com/shop/dresses/web-design-devotee-dress-in-lilies,598,http://productshots3.modcloth.net/productshots/0171/0957/0010d1643edb5cb6f210659af0bf2da0.jpg?1466545106,Dresses - Web Design Devotee Dress in Lilies,$59.99
599,http://www.modcloth.com/shop/dresses/bride-and-precedence-wedding-dress-in-white,599,http://productshots1.modcloth.net/productshots/0168/0841/715c4da3dccdb4d1e735a42c84d0207e.jpg?1458745989,Dresses - Bride and Precedence Wedding Dress in White,$150.00
600,http://www.modcloth.com/shop/dresses/point-of-no-intern-dress,600,http://productshots3.modcloth.net/productshots/0169/3761/da654a49851be033e35be740a0c7dbcf.jpg?1462207382,Dresses - Point of No Intern Dress,$59.99
601,http://www.modcloth.com/shop/dresses/mind-your-nanners-dress,601,http://productshots1.modcloth.net/productshots/0171/0907/3926cceb6fd9079faa786caa7b7f8c03.jpg?1466544924,Dresses - Mind Your Nanners Dress,$89.99
602,http://www.modcloth.com/shop/dresses/exquisite-elegance-wedding-dress-in-white,602,http://productshots3.modcloth.net/productshots/0173/0247/ca71d93df988d19d0b064cd130341c6d.jpg?1471288251,Dresses - Exquisite Elegance Wedding Dress in White,$175.00
